start_date,start_time,end_date,end_time,start_freq,end_freq,Loc,NOAA,Imp,cme_date,cme_time,CPA,Width,Speed,Plots,is_halo,width_is_lower_bound
2001/03/12,05:35,03/12,05:45,3000,1500,BACK,,,03/12,05:50,233,48,829,PHTX,False,False
2001/03/27,02:35,03/27,03:15,6000,1000,N14E17,9393,C7.3,03/27,02:06,154,60,300,PHTX,False,False
2001/03/27,15:00,03/27,15:20,4000,1500,N15E14,9393,C5.6,03/27,17:06,46,66,340,PHTX,False,False
2001/03/29,10:12,03/30,06:00,4000,60,N20W19,9393,X1.7,03/29,10:26,,360,942,PHTX,True,False
2001/04/02,11:30,04/02,12:00,14000,5000,N20W70,9393,X1.1,04/02,11:26,270,80,992,PHTX,False,False
2001/04/02,22:05,04/03,02:30,14000,250,N19W72,9393,X20.,04/02,22:06,261,244,2505,PHTX,False,False
2001/04/03,03:40,04/03,07:25,14000,400,S21E83,9415,X1.2,04/03,03:26,108,292,1613,PHTX,False,False
2001/04/04,09:50,04/04,10:10,13000,3000,S21E68,9415,M1.6,04/04,09:50,86,89,1065,PHTX,False,False
2001/04/05,09:14,04/05,09:34,14000,7500,N14W85,9393,M8.4,04/05,09:06,283,205,1750,PHTX uncertain,False,False
2001/04/06,19:35,04/07,01:50,14000,230,S21E31,9415,X5.6,04/06,19:30,,360,1270,"PHTX Double type II, CME-CME interaction?",True,False
2001/04/09,15:53,04/10,01:00,12000,100,S21W04,9415,M7.9,04/09,15:54,,360,1192,PHTX,True,False
2001/04/10,05:24,04/10,24:00,14000,100,S23W09,9415,X2.3,04/10,05:30,,360,2411,PHTX,True,False
2001/04/11,13:15,04/11,14:15,14000,1500,S22W27,9415,M2.3,04/11,13:31,,360,1103,PHTX,True,False
2001/04/12,10:36,04/12,10:40,14000,7000,S19W43,9415,X2.0,04/12,10:31,,360,1184,PHTX,True,False
2001/04/15,14:05,04/16,13:00,14000,40,S20W85,9415,X14.,04/15,14:06,245,167,1199,PHTX,False,False
2001/04/18,02:55,04/18,14:00,1000,100,SW90b,DIM,C2.2,04/18,02:30,,360,2465,PHTX,True,False
2001/04/26,12:40,04/28,05:00,5000,20,N20W05,9433,M1.5,04/26,12:30,,360,1006,PHTX,True,False
2001/05/07,12:00,05/07,13:50,2000,280,NW90b,DIM,,05/07,12:06,286,205,1223,PHTX,False,False
2001/05/12,23:52,05/13,00:12,3000,1000,S17E00,9455,M3.0,05/13,02:21,190,132,527,PHTX,False,False
2001/05/30,00:25,05/30,01:38,14000,1000,E90b,9481,,05/30,00:06,70,216,2087,PHTX,False,False
2001/06/15,10:50,06/15,11:15,7000,3000,S26E41,9502,M6.3,06/15,10:31,185,119,1090,PHTX,False,False
